NIR;T2-13;13-juil;13-oct;14-janv;14-avr;14-juil;14-oct;15-janv;15-avr;15-juil;15-oct;16-janv;16-avr;16-juil;16-oct;Orientation;CLI;EPCI;DELEGATION;zonage_3;Sexe Individu;age;Situation_familiale;Enfants_a_charge;Type_logement;QP;MDPH;Nb_enfants_charge_sens_PF
579;Pas de contrat;PPAE;Contrat d’insertion;Pas de contrat;PPAE;PPAE;PPAE;Pas de contrat;Pas de contrat;PPAE;PPAE;Pas de contrat;PPAE;PPAE;Pas de contrat;Non renseigne;ST HERBLAIN - Nord Loire;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;40;Couple;Oui;Logement social;Non;Non;
580;PPAE;PPAE;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;SUD LOIRE;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;40;Personne seule;Oui;Autre situation;Non;Non;
581;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Non renseigne;NANTES CENTRE;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;40;Personne seule;Non;Autre situation;Non;Non;0
582;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;Contrat aidé;Contrat aidé;Contrat aidé;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;Pas de contrat;Contrat d’insertion;Emploi;PONTCHATEAU;CA CAP ATLANTIQUE;DELEGATION SAINT NAZAIRE;Littorale;Masculin;40;Personne seule;Non;Logement privé;Non;Oui;0
583;PPAE;Pas de contrat;Contrat d’insertion;Contrat aidé;Contrat aidé;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;NANTES EST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;40;Personne seule;Non;Logement social;Oui;Non;0
584;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Non renseigne;;;;;;; ; ;Autre situation;;;
585;Pas de contrat;Pas de contrat;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;Emploi;NANTES OUEST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;49;Personne seule;Non;Autre situation;Non;Oui;0
586;PPAE;PPAE;PPAE;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;;;;;Feminin;49;Personne seule;Oui;Autre situation;Non;Non;
587;Pas de contrat;Pas de contrat;Pas de contrat;PPAE;PPAE;PPAE;PPAE;PPAE;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;NANTES OUEST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;49; ; ;Autre situation;Non;Non;
588;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat aidé;Contrat aidé;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;CHATEAUBRIANT;CC DE LA REGION DE BLAIN;DELEGATION CHATEAUBRIANT;Espace rural;Feminin;49;Couple;Oui;Autre situation;Non;Oui;
589;PPAE;Pas de contrat;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Espace urbain;Feminin;49;Personne seule;Non;Logement social;Oui;Non;0
590;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat aidé;Social;PAYS DE RETZ;CA PORNIC AGGLO PAYS DE RETZ;DELEGATION PAYS DE RETZ;Littorale;Feminin;48;Personne seule;Non;Autre situation;Non;Non;0
591;PPAE;Pas de contrat;Pas de contrat;PPAE;PPAE;PPAE;PPAE;PPAE;Pas de contrat;Droit clos refusé ou en attente;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;PPAE;Contrat d’insertion;Emploi;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Espace urbain;Feminin;48;Personne seule;Non;Autre situation;Non;Oui;1
592;Pas de contrat;Pas de contrat;Pas de contrat;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Non renseigne;NANTES OUEST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;48;Personne seule;Oui;Logement social;Oui;Oui;2
593;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Non renseigne;PONTCHATEAU;CC ESTUAIRE ET SILLON;DELEGATION SAINT NAZAIRE;Espace rural;Feminin;48;Couple;Oui;Logement social;Non;Non;
594;PPAE;PPAE;PPAE;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;NANTES EST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;48;Personne seule;Non;Logement social;Oui;Non;
595;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Non renseigne;ST HERBLAIN - Nord Loire;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;48;Personne seule;Oui;Logement social;Non;Non;
596;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat aidé;Emploi;NANTES NORD;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;48;Personne seule;Non;Logement social;Oui;Oui;0
597;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Non renseigne;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Espace urbain;Feminin;48;Personne seule;Oui;Logement social;Non;Non;1
598;Pas de contrat;Pas de contrat;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;Pas de contrat;Contrat d’insertion;Contrat aidé;Emploi;CHATEAUBRIANT;CC DU PAYS DE REDON;DELEGATION CHATEAUBRIANT;Espace rural;Feminin;48;Personne seule;Non;Propriétaire ou accédant;Non;Non;0
599;PPAE;PPAE;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;NANTES EST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;48;Personne seule;Non;Logement privé;Non;Non;
600;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat aidé;Contrat aidé;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Social;PAYS DE RETZ;CC SUD RETZ ATLANTIQUE;DELEGATION PAYS DE RETZ;Littorale;Feminin;48;Personne seule;Oui;Logement social;Non;Non;5
601;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Non renseigne;NANTES NORD;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;47; ; ;Autre situation;Non;Non;
602;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Non renseigne;ST HERBLAIN - Nord Loire;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;47;Personne seule;Oui;Logement social;Non;Non;1
603;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Non renseigne;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Espace urbain;Feminin;47;Personne seule;Oui;Propriétaire ou accédant;Non;Non;1
604;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Non renseigne;PONTCHATEAU;CA CAP ATLANTIQUE;DELEGATION SAINT NAZAIRE;Littorale;Feminin;47;Personne seule;Oui;Autre situation;Non;Non;1
605;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Social;VIGNOBLE NANTAIS;CA CLISSON SEVRE MAINE AGGLO;DELEGATION VIGNOBLE;Espace rural;Feminin;47;Personne seule;Oui;Logement social;Non;Oui;0
606;Pas de contrat;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;PAYS DE RETZ;CC SUD ESTUAIRE;DELEGATION PAYS DE RETZ;Littorale;Feminin;47;Personne seule;Non;Autre situation;Non;Non;
607;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Emploi;PAYS DE RETZ;CC GRANDLIEU;DELEGATION PAYS DE RETZ;Espace rural;Feminin;47;Personne seule;Oui;Autre situation;Non;Non;2
608;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Social;NANTES NORD;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;46;Couple;Oui;Logement social;Non;Oui;1
609;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;Emploi;CHATEAUBRIANT;CC CHATEAUBRIANT-DERVAL;DELEGATION CHATEAUBRIANT;Espace rural;Feminin;46;Personne seule;Non;Autre situation;Non;Non;0
610;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Non renseigne;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Espace urbain;Feminin;46;Personne seule;Non;Autre situation;Oui;Oui;
611;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Non renseigne;NANTES OUEST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;46;Couple;Oui;Propriétaire ou accédant;Non;Non;
612;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;NANTES NORD;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;46;Personne seule;Oui;Logement social;Oui;Non;2
613;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Emploi;CHATEAUBRIANT;CC DE LA REGION DE NOZAY;DELEGATION CHATEAUBRIANT;Espace rural;Feminin;46;Personne seule;Oui;Logement privé;Non;Non;1
614;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Emploi;NANTES CENTRE;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;46;Personne seule;Non;Logement privé;Non;Non;0
615;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Non renseigne;SUD LOIRE;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;46;Personne seule;Oui;Autre situation;Oui;Non;1
616;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Non renseigne;NANTES NORD;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;46;Personne seule;Oui;Logement social;Oui;Non;4
617;PPAE;PPAE;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;PPAE;Emploi;PONTCHATEAU;CA CAP ATLANTIQUE;DELEGATION SAINT NAZAIRE;Littorale;Feminin;46;Personne seule;Oui;Autre situation;Non;Non;2
618;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Non renseigne;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Espace urbain;Feminin;46;Couple;Oui;Autre situation;Oui;Non;1
619;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Non renseigne;ST HERBLAIN - Nord Loire;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;46;Personne seule;Oui;Logement social;Oui;Non;0
620;PPAE;PPAE;PPAE;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;SUD LOIRE;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;45;Personne seule;Non;Autre situation;Non;Oui;
621;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Social;NANTES NORD;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;45;Personne seule;Oui;Logement social;Non;Oui;
622;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat aidé;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Contrat d’insertion;Non renseigne;NANTES NORD;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;45;Personne seule;Non;Logement privé;Non;Non;0
623;PPAE;Pas de contrat;PPAE;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;SUD LOIRE;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;45;Personne seule;Oui;Autre situation;Non;Non;
624;Pas de contrat;PPAE;PPAE;PPAE;PPAE;Pas de contrat;PPAE;PPAE;PPAE;PPAE;PPAE;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Non renseigne;NANTES EST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;45;Personne seule;Oui;Logement social;Non;Non;1
625;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Contrat d’insertion;Social;PAYS D'ANCENIS;CC DU PAYS D'ANCENIS;DELEGATION ANCENIS;Espace rural;Feminin;45;Personne seule;Oui;Logement social;Non;Non;
626;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;NANTES NORD;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;45;Couple;Oui;Logement privé;Non;Non;1
627;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat aidé;Contrat aidé;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Social;CHATEAUBRIANT;CC CHATEAUBRIANT-DERVAL;DELEGATION CHATEAUBRIANT;Espace rural;Feminin;44;Personne seule;Oui;Propriétaire ou accédant;Non;Non;3
628;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;Pas de contrat;PPAE;Pas de contrat;Pas de contrat;Emploi;PONTCHATEAU;CA CAP ATLANTIQUE;DELEGATION SAINT NAZAIRE;Littorale;Feminin;44;Personne seule;Oui;Logement social;Non;Non;
629;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;NANTES EST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;44;Couple;Oui;Logement social;Non;Non;
630;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Non renseigne;NANTES NORD;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;44;Personne seule;Oui;Logement social;Non;Non;1
631;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Social;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Espace urbain;Feminin;44;Personne seule;Oui;Logement social;Non;Non;1
632;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Social;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Espace urbain;Feminin;44;Personne seule;Oui;Logement social;Non;Non;4
633;PPAE;PPAE;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;PPAE;PPAE;Emploi;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Espace urbain;Feminin;44;Personne seule;Oui;Logement social;Non;Non;2
634;PPAE;PPAE;PPAE;PPAE;Pas de contrat;PPAE;PPAE;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;NANTES EST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;44;Personne seule;Oui;Logement social;Oui;Non;1
635;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;Pas de contrat;Emploi;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Espace urbain;Feminin;44;Personne seule;Non;Autre situation;Non;Non;0
636;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Non renseigne;NANTES CENTRE;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;44;Personne seule;Oui;Logement social;Non;Non;
637;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Social;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Littorale;Feminin;44;Couple;Oui;Autre situation;Non;Non;4
638;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Social;NANTES NORD;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;44;Personne seule;Oui;Logement social;Non;Non;1
639;Pas de contrat;PPAE;Pas de contrat;PPAE;PPAE;Pas de contrat;Pas de contrat;Pas de contrat;PPAE;PPAE;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Non renseigne;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Espace urbain;Feminin;43;Personne seule;Non;Logement privé;Non;Oui;0
640;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Contrat d’insertion;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Social;PAYS DE RETZ;CA PORNIC AGGLO PAYS DE RETZ;DELEGATION PAYS DE RETZ;Littorale;Feminin;43;Personne seule;Non;Autre situation;Non;Non;0
641;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Emploi;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Espace urbain;Feminin;43;Personne seule;Oui;Logement social;Non;Non;
